bairro,area_quartos,enderecos_lista,aluguel
lourdes,57 m² construídos2 quartos,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.750
lourdes,39 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",1.700
lourdes,30 m² construídos1 quarto,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",1.700
lourdes,39 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",1.700
lourdes,40 m² construídos1 quarto,"Avenida Bias Fortes, Lourdes, Belo Horizonte, Minas Gerais",1.700
lourdes,85 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",1.650
lourdes,80 m² construídos3 quartos,"Rua Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.650
lourdes,38 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",1.650
lourdes,33 m² construídos1 quarto,"Rua Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",1.600
lourdes,65 m² construídos2 quartos,"Lourdes, Belo Horizonte, Minas Gerais",1.600
lourdes,24 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.600
lourdes,35 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",1.600
lourdes,63 m² construídos2 quartos,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.550
lourdes,63 m² construídos2 quartos,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.550
lourdes,90 m² construídos3 quartos,"Av. Bias Fortes, 1619 - Lourdes, Belo Horizonte - Mg, 30170-012, Brasil, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,40 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,30 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,48 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,35 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,27 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,55 m² construídos1 quarto,"Rua Da Bahia, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,35 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,112 m² construídos3 quartos,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,15 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.500
lourdes,65 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",1.400
lourdes,21 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.400
lourdes,30 m² construídos1 quarto,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",1.350
lourdes,39 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.350
lourdes,30 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.300
lourdes,35 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.300
lourdes,45 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.300
lourdes,35 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.300
